name,ngoNumber,description,tags
אביהוא שרווד - למען חיות הבר,580656627,"הפעילות שלנו - חילוץ, הצלה ומתן טיפול רפואי לבעלי חיים בכלל ובפרט לחיות בר פצועות, נטושות או חולות, שיקומן והחזרתן לטבע ככל שניתן. החזקה וטיפול בחיות ובחיות בר שאינן כשירות לשוב לטבע. חינוך הציבור והפצת מסר השמירה על בעלי חיים ועל חיות הבר בישראל וחשיבות החיות בטבע. מתן סיוע לרשויות המדינה בטיפול בחיות הבר חילוץ והצלה: בעלי החיים, שמגיעים מכל רחבי הארץ, נשלחים אלינו על ידי רשות הטבע והגנים, וטרינרים רשותיים, בית החולים לחיות בר וכמובן בזכות ערנות ואכפתיות של אנשים פרטיים. לא פעם אנו נקראים לחילוץ מורכב של בעלי חיים פצועים ואנו נגיע תמיד, לכל מקום, על מנת להגיש עזרה. טיפול ושיקום: בעלי החיים המגיעים למרפאה שלנו מקבלים טיפול מקצועי ומסור עד להבראתם. הם עוברים שיקום שבסופו הם משוחררים לטבע. הסברה וחינוך: לעיתים קרובות מגיעים אלינו בעלי חיים שנפגעו על ידי אנשים – לא מתוך כוונה אלא מתוך חוסר ידע או חוסר תשומת לב: צבים שגודלו בבתים ופיתחו את מחלת הרככת בשל תזונה לקויה, בעלי חיים שאכלו שקיות פלסטיק שנזרקו, פרחוני עופות שנאספו מפני שחשבו שהם נפלו מהקן ועוד. שמנו לעצמנו למטרה להעמיק את הידע הציבורי בנושא שמירת הטבע ובעלי החיים כדי שנוכל כולנו לשמור על הטבע הישראלי וליהנות ממנו. שיתופי פעולה: אנו פועלים בשיתוף פעולה עם רשות הטבע והגנים ובית החולים לחיות בר בספארי ומקבלים גם עזרה רבה מוטרינרים נפלאים בהתנדבות מלאה. אנחנו מתחייבים לעשות כל שביכולתנו כדי להציל ולשקם כל חיית בר שזקוקה לעזרתנו ונוכל להמשיך ולעשות זאת רק בזכות התמיכה שלכם בתרומה, בהתנדבות או בהפצת המסר. למענם!",סביבה ובעלי חיים
עזרה לזולת,580176832,אנחנו רוצים לעזור ולתמוך בכל מי שזקוק לעזרה,שיכון ופיתוח עירוני
לב לחיה,580364511,אנחנו דואגים לבעלי החיים באשר הם,דת
aaa fund,123123,aaa fund desc,קהילה וחברה
עוזרים לדגים,1678,אנחנו כאן כדי לעזור לדגים ולשמור עליהם,דת
לב לחיות הבית,1234567,"המטרה שלנו זה לעזור לכל חיות הבית באשר הן , לתמוך ולעזור ולהציל כמה שיותר מהם.",התנדבות וקרנות פילנטרופיות
חסדי נעמי,580073146,"בשנת 1984, הקים יוסף כהן את ""חסדי נעמי"". כששלח את ילדיו הקטנים לבית הספר, הבחין בילדים המגיעים עם תיקים קרועים ובגדים בלויים ורחמיו נכמרו על המשפחות המסכנות. כהן, במו ידיו, עבר מבית לבית, אסף מצרכי מזון וחילק אותם לעניים. עם הזמן נוסף מערך התנדבותי שלם, הוקמו מחסני איסוף, פוזרו ניידות לאיסוף מוצרים. כיום, נתמכים ע""י חסדי נעמי למעלה מ-10,000 משפחות באופן קבוע ועוד רבים נוספים מעת לעת. מערך ההתנדבות של ""חסדי נעמי"" כולל למעלה מ-20,000 מתנדבים ומתנדבות הפועלים בכ-40 נקודות חלוקה ברחבי הארץ. בין המתנדבים, נוספים נציגי בנינים האמונים על איסוף מצרכי מזון לנזקקים בין השכנים והעברתם ע""י נהגי העמותה למרכזי המיון והאריזה ומשם לחלוקה למשפחות. הארגזים הניתנים למשפחות ולאלמנות הנזקקות, נשלחים אליהם ע""י שליח מחברת משלוחים, זאת על-מנת להסוות את מטרת השליחות ולמנוע מבוכה מהאישה והילדים.",התנדבות וקרנות פילנטרופיות
עזרה לעיוורים,14444,רוצים לדאוג לעיוורים,סביבה ובעלי חיים
עזרה לחירשים,1666,דואגים לחירשים,קהילה וחברה
abc abc,580018281,desc desc desc,tttt
